longitude,latitude
118.02594065665994,5.7871822193787
91.81333333333303,22.094444444444
118.34129333496094,6.141237487878036
91.7166666666667,21.2
91.80999999999996,21.864722222222223
91.80999999999996,21.864722222222
72.87361111111102,18.906388888889
119.65499999999996,6.1572222222222
103.98333333332994,1.1691666666667
118.13333333333004,6.334722222222222
105.985,-5.869166666666667
101.43444444444448,1.7022222222222223
50.75,11.983333333333333
101.47611111110996,1.71
34.83448501586918,-19.81220421652682
49.90814208984375,7.919153549446242
103.53833333333,1.1166666666667
101.4333333333334,1.7166666666666668
114.41888888888889,-3.718888888888889
49.317626953125,11.630715737981486
51.66666666666697,14.035833333333
51.616666666666674,14.15
52.354444444444425,15.932222222222222
